"","Gene","HV","meth","value"
"175","AT5G17890","non-hv","CHH",0.278018770608709
"176","AT5G17890","non-hv","CHG",0.211773870202942
"177","AT5G17970","non-hv","CHH",0.293291103735113
"178","AT5G17970","non-hv","CHG",0.18944249090273
"179","AT5G18350","non-hv","CHH",0.357768477859055
"180","AT5G18350","non-hv","CHG",0.251317046857844
"181","AT5G18360","non-hv","CHH",0.29878941196657
"182","AT5G18360","non-hv","CHG",0.188234014789039
"183","AT5G18370","non-hv","CHH",0.351634467932915
"184","AT5G18370","non-hv","CHG",0.237765953636963
"185","AT5G22690","non-hv","CHH",0.243746861805261
"186","AT5G22690","non-hv","CHG",0.388721492610213
"187","AT5G35450","non-hv","CHH",0.297006373988241
"188","AT5G35450","non-hv","CHG",0.24982806719711
"189","AT5G36930","non-hv","CHH",0.267638400001217
"190","AT5G36930","non-hv","CHG",0.445241659397373
"191","AT5G38340","non-hv","CHH",0.237174622939748
"192","AT5G38340","non-hv","CHG",0.341948304207332
"193","AT5G38350","hv","CHH",0.452742351183028
"194","AT5G38350","hv","CHG",0.872716398000196
"195","AT5G38850","non-hv","CHH",0.277988224970987
"196","AT5G38850","non-hv","CHG",0.360401131304749
"197","AT5G40100","non-hv","CHH",0.320171436667386
"198","AT5G40100","non-hv","CHG",0.320932280115954
"199","AT5G40910","non-hv","CHH",0.330382210299398
"200","AT5G40910","non-hv","CHG",0.271943344829299
"201","AT5G41540","non-hv","CHH",0.278198732520548
"202","AT5G41540","non-hv","CHG",0.170550464028725
"203","AT5G41550","non-hv","CHH",0.212960463439935
"204","AT5G41550","non-hv","CHG",0.197817304716113
"205","AT5G41740","hv","CHH",0.281408346804668
"206","AT5G41740","hv","CHG",0.332113740659519
"207","AT5G41750","hv","CHH",0.452209112543649
"208","AT5G41750","hv","CHG",0.995622042175151
"209","AT5G43470","hv","CHH",0.288353202839543
"210","AT5G43470","hv","CHG",0.171248419218124
"211","AT5G43730","non-hv","CHH",0.356067518274534
"212","AT5G43730","non-hv","CHG",0.273083191609977
"213","AT5G43740","hv","CHH",0.424582406226139
"214","AT5G43740","hv","CHG",0.485293164328126
"215","AT5G44510","non-hv","CHH",0.370235804462338
"216","AT5G44510","non-hv","CHG",0.427838127863053
"217","AT5G44870","non-hv","CHH",0.327682376176833
"218","AT5G44870","non-hv","CHG",0.234523358457715
"219","AT5G45050","non-hv","CHH",0.306464632219911
"220","AT5G45050","non-hv","CHG",0.274077738839644
"221","AT5G45060","non-hv","CHH",0.301904788027153
"222","AT5G45060","non-hv","CHG",0.42593349266312
"223","AT5G45200","non-hv","CHH",0.289861974964022
"224","AT5G45200","non-hv","CHG",0.184475377032822
